MOVIES,YEAR,VOTES,RunTime,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,RATING,VOTES,RunTime,Gross
571,2021,6.1,21062,1210,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21062,1210,
2634,2021,5.0,17870,250,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17870,250,
4424,2010,8.2,885805,440,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,885805,440,
3349,2013,9.2,414849,230,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414849,230,
3073,2020,7.6,25858,500,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25858,500,
4215,2021,6.8,5283,1100,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5283,1100,
1084,2006,8.6,665387,530,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,665387,530,
2926,2020,7.9,34530,300,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34530,300,
4719,2019,7.4,27279,440,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27279,440,
1661,2021,6.0,17989,1140,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17989,1140,
2531,2016,8.1,264222,420,,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,264222,420,
1381,2021,6.2,50148,1070,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,50148,1070,
269,2011,8.0,286488,600,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,286488,600,
1642,2005,7.5,266258,410,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,266258,410,
645,2008,9.4,1552311,490,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552311,490,
4122,2017,8.1,70871,410,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70871,410,
369,2017,8.3,71544,300,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71544,300,
3803,2016,8.7,885856,510,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,885856,510,
1380,2021,6.8,36634,1090,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,36634,1090,
1467,1994,8.9,880918,220,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,880918,220,
4099,2014,7.6,320264,430,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320264,430,
3136,2013,8.8,393414,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393414,600,
762,2021,5.0,4681,1360,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4681,1360,
4710,2013,8.5,459913,440,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459913,440,
500,2015,8.8,347857,460,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347857,460,
3843,2005,8.4,404273,440,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,404273,440,
3983,2013,8.0,213522,430,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213522,430,
1379,2021,6.7,27447,1140,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27447,1140,
303,2016,8.2,26926,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26926,600,
661,2013,8.4,248583,220,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248583,220,
2868,2003,7.7,125619,600,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125619,600,
2240,2019,8.4,34906,450,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34906,450,
2752,2009,8.4,378030,220,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,378030,220,
4504,2018,7.7,73656,450,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73656,450,
4439,2019,8.2,336484,600,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,336484,600,
1146,2010,8.7,171804,580,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,171804,580,
3614,2013,9.0,242582,240,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242582,240,
3820,2011,8.4,374263,440,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374263,440,
2317,2017,8.3,341858,700,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,341858,700,
3502,2015,8.5,90728,220,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90728,220,
3074,2014,8.4,134991,640,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,134991,640,
4212,2015,8.4,94650,600,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94650,600,
551,2011,8.8,469407,600,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,469407,600,
3081,2017,8.4,206090,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206090,600,
4034,2016,8.6,169517,580,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169517,580,
334,2021,5.8,132378,1480,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,132378,1480,
1353,2014,8.9,341221,530,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341221,530,
1858,2005,8.3,624036,220,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,624036,220,
854,2009,8.5,231013,220,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231013,220,
3711,2008,8.5,270445,450,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270445,450,
