Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
12,25.1,34.5,0.0,4,41.0,1,4,9.0,26.0,68.0,39.0,1013.8,1009.8,29.2,32.8,0,0
0,14.0,29.1,0.0,7,31.0,1,13,6.0,13.0,72.0,34.0,1020.2,1017.4,17.8,28.8,0,0
33,8.0,19.9,0.0,13,54.0,3,13,11.0,33.0,55.0,37.0,1019.8,1017.6,13.9,19.4,0,0
20,18.9,29.8,0.0,6,35.0,5,14,20.0,22.0,64.0,38.0,1015.2,1012.3,21.3,28.6,0,0
1,18.6,40.7,0.0,1,44.0,2,3,7.0,24.0,44.0,12.0,1012.3,1008.1,27.8,39.3,0,0
41,19.9,30.7,0.0,6,46.0,5,6,20.0,19.0,41.0,63.0,1016.9,1017.7,26.4,25.1,0,0
38,8.4,11.2,47.4,13,74.0,7,13,20.0,26.0,85.0,76.0,988.9,989.2,9.4,9.2,1,1
28,18.3,34.3,0.0,0,48.0,0,2,33.0,13.0,40.0,23.0,1019.0,1014.6,23.4,33.0,0,0
6,19.3,30.9,0.0,1,26.0,1,1,9.0,17.0,49.0,42.0,1017.7,1015.5,27.4,29.3,0,0
25,2.5,16.1,3.0,8,39.0,1,8,7.0,15.0,87.0,46.0,1028.2,1025.0,7.0,15.4,1,0
15,13.2,32.6,0.0,9,46.0,9,0,13.0,24.0,58.0,29.0,1014.7,1010.4,21.4,32.0,0,0
19,4.3,16.6,0.0,10,33.0,11,10,15.0,19.0,90.0,51.0,1026.1,1023.3,6.8,16.3,0,0
43,9.2,24.7,0.0,7,48.0,5,7,7.0,37.0,45.0,31.0,1019.3,1016.3,17.4,21.4,0,1
43,20.2,35.1,0.0,3,65.0,3,11,28.0,28.0,10.0,16.0,1016.8,1017.4,26.9,31.7,0,0
21,9.0,13.6,0.6,12,56.0,12,12,26.0,31.0,90.0,78.0,1018.0,1017.9,10.2,12.8,0,0
10,10.8,20.1,0.0,7,41.0,8,10,13.0,20.0,67.0,46.0,1014.6,1015.4,16.3,18.2,0,0
40,13.7,28.8,0.0,7,26.0,6,3,2.0,6.0,68.0,58.0,1012.0,1009.8,22.1,27.8,0,0
30,15.6,24.8,0.0,9,46.0,11,10,17.0,17.0,54.0,49.0,1017.6,1015.9,19.2,22.6,0,1
16,5.9,20.4,0.0,6,28.0,0,6,4.0,15.0,75.0,39.0,1018.5,1014.4,10.9,18.6,0,0
43,24.9,38.5,0.0,11,72.0,4,13,35.0,35.0,17.0,14.0,1003.9,1002.5,31.5,35.0,0,0
10,16.7,23.8,0.4,11,50.0,11,8,28.0,30.0,54.0,77.0,1013.8,1013.9,20.9,20.3,0,1
5,17.5,34.2,0.0,9,43.0,9,15,17.0,15.0,54.0,21.0,1019.4,1017.3,21.6,33.6,0,0
36,10.8,16.4,4.0,1,20.0,0,3,9.0,6.0,89.0,68.0,1019.3,1016.3,11.7,16.2,1,1
33,22.6,31.5,0.0,4,63.0,3,4,17.0,31.0,67.0,52.0,1009.1,1005.4,26.6,30.7,0,0
29,8.1,20.3,0.0,1,33.0,1,15,20.0,9.0,70.0,55.0,1011.2,1008.1,13.9,19.2,0,1
16,8.4,20.3,0.0,7,33.0,7,3,15.0,15.0,60.0,58.0,1005.5,1006.3,16.3,19.0,0,1
34,24.5,31.3,6.4,1,31.0,8,4,4.0,19.0,84.0,74.0,1009.4,1005.9,27.3,30.1,1,1
31,2.9,15.9,0.0,15,56.0,7,14,7.0,24.0,76.0,47.0,1003.0,1001.0,9.7,15.0,0,1
35,4.4,24.2,0.0,3,39.0,1,6,13.0,17.0,67.0,35.0,1016.7,1010.6,11.9,23.0,0,0
12,22.4,32.9,0.0,6,33.0,6,14,17.0,26.0,69.0,46.0,1014.7,1011.6,27.8,31.9,0,0
7,25.3,29.7,1.2,9,37.0,10,10,20.0,20.0,83.0,95.0,1010.7,1009.0,26.7,25.3,1,1
25,8.8,26.2,0.0,14,39.0,5,14,7.0,17.0,53.0,22.0,1016.4,1013.1,17.2,25.8,0,0
26,11.2,32.8,0.0,0,50.0,1,10,19.0,11.0,38.0,14.0,1015.7,1009.8,22.7,32.3,0,0
8,3.4,25.5,0.0,7,30.0,12,7,4.0,20.0,67.0,20.0,1031.4,1026.6,13.3,24.7,0,0
14,4.7,15.9,0.0,6,35.0,6,6,19.0,7.0,74.0,41.0,1017.7,1017.4,6.6,15.0,0,0
13,20.6,25.5,2.8,10,65.0,8,10,39.0,50.0,73.0,69.0,1013.9,1011.7,23.4,23.3,1,0
30,18.1,28.8,1.0,2,28.0,11,10,7.0,9.0,79.0,54.0,1011.2,1008.8,22.1,28.3,0,0
2,2.2,20.6,0.0,1,31.0,14,8,6.0,13.0,53.0,20.0,1026.6,1022.8,10.0,19.8,0,0
42,11.9,21.7,0.4,3,37.0,7,5,9.0,20.0,63.0,54.0,1026.4,1019.3,17.8,21.0,0,0
14,6.5,16.9,0.4,12,54.0,15,6,9.0,22.0,50.0,53.0,1021.3,1020.0,13.6,13.7,0,0
18,10.0,17.9,10.2,8,46.0,12,8,24.0,31.0,92.0,54.0,1022.7,1022.9,12.3,17.1,1,0
38,8.1,11.8,37.0,13,63.0,13,12,20.0,20.0,69.0,82.0,1011.2,1010.7,10.9,8.8,1,1
42,9.5,18.3,0.0,6,28.0,7,3,15.0,9.0,68.0,50.0,1023.2,1018.0,14.6,18.0,0,0
9,19.9,31.7,0.0,10,30.0,0,9,13.0,11.0,69.0,33.0,1013.5,1012.9,23.3,30.6,0,0
43,10.7,27.6,0.0,9,44.0,9,8,28.0,22.0,61.0,23.0,1022.2,1019.3,14.7,25.1,0,0
27,17.4,30.8,0.0,11,41.0,10,11,7.0,19.0,58.0,56.0,1015.0,1013.6,24.6,27.2,0,0
34,17.3,26.7,0.0,2,52.0,9,1,22.0,35.0,55.0,56.0,1024.7,1020.9,22.2,23.3,0,0
9,22.4,39.3,0.0,3,28.0,3,4,17.0,7.0,45.0,26.0,1011.7,1009.0,30.2,37.2,0,0
35,15.7,28.9,11.8,1,30.0,0,4,6.0,6.0,71.0,44.0,1013.8,1009.6,21.1,28.0,1,0
